Open,High,Low,Close,Volume,Dividends,Stock Splits
1656.193303422378,1672.9979153049874,1651.7944974023824,1669.291015625,4493770,0.0,0
1669.6865426769614,1679.2256558932024,1645.3198298501843,1654.61181640625,5454284,0.0,0
1652.5854116268986,1662.618657262031,1641.7611917634229,1657.03369140625,4869095,0.0,0
1660.7899416832188,1688.3693004076492,1651.5474289555502,1661.4324951171875,6087777,0.0,0
1670.576162297969,1670.576162297969,1595.2520072707478,1637.9554443359375,8213383,0.0,0
1631.0358793287228,1654.6117374510127,1627.4278061288671,1633.7542724609375,6045328,0.0,0
1633.7542936380921,1645.91297316307,1618.481914836973,1623.918701171875,6624821,0.0,0
1631.0358527162216,1631.0358527162216,1568.908238459856,1575.2840576171875,8898875,0.0,0
1571.7255614706187,1583.5876411798308,1542.070362197588,1564.65771484375,6203437,0.0,0
1566.7829987153457,1592.48417093402,1565.3497123777677,1586.8497314453125,4061160,0.0,0
1587.5415790439745,1603.3576844391823,1581.6600131170549,1588.282958984375,6618861,0.0,0
1586.6518863756314,1591.3967662234174,1557.4415893563262,1563.273681640625,5103669,0.0,0
1576.6681072028493,1579.4853270226954,1571.8244004829949,1575.630126953125,548404,0.0,0
1573.8013131972534,1586.2564720613213,1552.4001214529571,1581.857666015625,9471790,0.0,0
1576.2726647100287,1576.2726647100287,1551.0163924472097,1554.1795654296875,6347738,0.0,0
1549.978336983604,1550.966843576068,1532.1852183192514,1537.3748779296875,6857063,0.0,0
1532.234769436833,1537.0290025193785,1517.950776052666,1530.5048828125,3999702,0.0,0
1532.185237022346,1541.1312700602714,1527.2921775968437,1535.1507568359375,7457046,0.0,0
1544.146161668018,1553.7841011799344,1536.5347089870704,1539.3519287109375,4766797,0.0,0
1537.1277983120863,1539.3024646151207,1523.8817854343267,1530.208251953125,4122703,0.0,0
1519.235798668294,1526.2541713070343,1510.932319198706,1513.2059326171875,3799439,0.0,0
1508.5106137441196,1525.7600064310136,1507.7197601612593,1521.7071533203125,4576437,0.0,0
1528.231223497627,1534.8541695369343,1481.8208862902868,1497.9334716796875,7630636,0.0,0
